season,divergence_week,diverged,eliminations_pct,eliminations_rank,final_survivors_pct,final_survivors_rank
21,2.0,True,"[{'week': 2, 'eliminated': 'Gary Busey', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Paula Deen', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Alexa PenaVega', 'method': 'percentage'}, {'week': 7, 'eliminated': 'Hayes Grier', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Andy Grammer', 'method': 'percentage'}, {'week': 9, 'eliminated': 'Tamar Braxton', 'method': 'percentage'}, {'week': 11, 'eliminated': 'Carlos PenaVega', 'method': 'percentage'}]","[{'week': 2, 'eliminated': 'Chaka Khan', 'method': 'rank'}, {'week': 4, 'eliminated': 'Paula Deen', 'method': 'rank'}, {'week': 6, 'eliminated': 'Hayes Grier', 'method': 'rank'}, {'week': 7, 'eliminated': 'Alexa PenaVega', 'method': 'rank'}, {'week': 8, 'eliminated': 'Andy Grammer', 'method': 'rank'}, {'week': 9, 'eliminated': 'Tamar Braxton', 'method': 'rank'}, {'week': 11, 'eliminated': 'Alek Skarlatos', 'method': 'rank'}]","['Chaka Khan', 'Bindi Irwin', 'Kim Zolciak-Biermann', 'Alek Skarlatos', 'Victor Espinoza', 'Nick Carter']","['Carlos PenaVega', 'Gary Busey', 'Bindi Irwin', 'Kim Zolciak-Biermann', 'Victor Espinoza', 'Nick Carter']"
22,4.0,True,"[{'week': 2, 'eliminated': 'Geraldo Rivera', 'method': 'percentage'}, {'week': 3, 'eliminated': 'Mischa Barton', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Doug Flutie', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Kim Fields', 'method': 'percentage'}, {'week': 7, 'eliminated': 'Jodie Sweetin', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Wanya Morris', 'method': 'percentage'}, {'week': 9, 'eliminated': 'Antonio Brown', 'method': 'percentage'}]","[{'week': 2, 'eliminated': 'Geraldo Rivera', 'method': 'rank'}, {'week': 3, 'eliminated': 'Mischa Barton', 'method': 'rank'}, {'week': 4, 'eliminated': 'Marla Maples', 'method': 'rank'}, {'week': 6, 'eliminated': 'Doug Flutie', 'method': 'rank'}, {'week': 7, 'eliminated': 'Jodie Sweetin', 'method': 'rank'}, {'week': 8, 'eliminated': 'Antonio Brown', 'method': 'rank'}, {'week': 9, 'eliminated': 'Ginger Zee', 'method': 'rank'}]","['Ginger Zee', 'Paige VanZant', 'Marla Maples', 'Von Miller', 'Nyle DiMarco']","['Wanya Morris', 'Paige VanZant', 'Von Miller', 'Kim Fields', 'Nyle DiMarco']"
23,3.0,True,"[{'week': 2, 'eliminated': 'Jake T. Austin', 'method': 'percentage'}, {'week': 3, 'eliminated': 'Rick Perry', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Babyface', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Amber Rose', 'method': 'percentage'}, {'week': 7, 'eliminated': 'Maureen McCormick', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Marilu Henner', 'method': 'percentage'}, {'week': 9, 'eliminated': 'Terra Jole', 'method': 'percentage'}, {'week': 10, 'eliminated': 'Calvin Johnson Jr.', 'method': 'percentage'}, {'week': 11, 'eliminated': 'Jana Kramer', 'method': 'percentage'}]","[{'week': 2, 'eliminated': 'Jake T. Austin', 'method': 'rank'}, {'week': 3, 'eliminated': 'Babyface', 'method': 'rank'}, {'week': 4, 'eliminated': 'Ryan Lochte', 'method': 'rank'}, {'week': 6, 'eliminated': 'Amber Rose', 'method': 'rank'}, {'week': 7, 'eliminated': 'Marilu Henner', 'method': 'rank'}, {'week': 8, 'eliminated': 'Terra Jole', 'method': 'rank'}, {'week': 9, 'eliminated': 'James Hinchcliffe', 'method': 'rank'}, {'week': 10, 'eliminated': 'Calvin Johnson Jr.', 'method': 'rank'}, {'week': 11, 'eliminated': 'Jana Kramer', 'method': 'rank'}]","['Laurie Hernandez', 'Ryan Lochte', 'Vanilla Ice', 'James Hinchcliffe']","['Laurie Hernandez', 'Rick Perry', 'Vanilla Ice', 'Maureen McCormick']"
24,,False,"[{'week': 2, 'eliminated': 'Chris Kattan', 'method': 'percentage'}, {'week': 3, 'eliminated': 'Charo', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Mr. T', 'method': 'percentage'}, {'week': 5, 'eliminated': 'Erika Jayne', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Nick Viall', 'method': 'percentage'}, {'week': 7, 'eliminated': 'Bonner Bolton', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Simone Biles', 'method': 'percentage'}, {'week': 9, 'eliminated': 'David Ross', 'method': 'percentage'}]","[{'week': 2, 'eliminated': 'Chris Kattan', 'method': 'rank'}, {'week': 3, 'eliminated': 'Charo', 'method': 'rank'}, {'week': 4, 'eliminated': 'Mr. T', 'method': 'rank'}, {'week': 5, 'eliminated': 'Erika Jayne', 'method': 'rank'}, {'week': 6, 'eliminated': 'Nick Viall', 'method': 'rank'}, {'week': 7, 'eliminated': 'Bonner Bolton', 'method': 'rank'}, {'week': 8, 'eliminated': 'Simone Biles', 'method': 'rank'}, {'week': 9, 'eliminated': 'David Ross', 'method': 'rank'}]","['Nancy Kerrigan', 'Rashad Jennings', 'Normani', 'Heather Morris']","['Nancy Kerrigan', 'Rashad Jennings', 'Normani', 'Heather Morris']"
25,2.0,True,"[{'week': 2, 'eliminated': 'Barbara Corcoran', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Derek Fisher', 'method': 'percentage'}, {'week': 5, 'eliminated': 'Nick Lachey', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Victoria Arlen', 'method': 'percentage'}, {'week': 7, 'eliminated': 'Nikki Bella', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Terrell Owens', 'method': 'percentage'}, {'week': 9, 'eliminated': 'Drew Scott', 'method': 'percentage'}, {'week': 10, 'eliminated': 'Frankie Muniz', 'method': 'percentage'}]","[{'week': 2, 'eliminated': 'Derek Fisher', 'method': 'rank'}, {'week': 4, 'eliminated': 'Nick Lachey', 'method': 'rank'}, {'week': 5, 'eliminated': 'Sasha Pieterse', 'method': 'rank'}, {'week': 6, 'eliminated': 'Victoria Arlen', 'method': 'rank'}, {'week': 7, 'eliminated': 'Nikki Bella', 'method': 'rank'}, {'week': 8, 'eliminated': 'Terrell Owens', 'method': 'rank'}, {'week': 9, 'eliminated': 'Drew Scott', 'method': 'rank'}, {'week': 10, 'eliminated': 'Frankie Muniz', 'method': 'rank'}]","['Lindsey Stirling', 'Debbie Gibson', 'Vanessa Lachey', 'Jordan Fisher', 'Sasha Pieterse']","['Lindsey Stirling', 'Debbie Gibson', 'Vanessa Lachey', 'Barbara Corcoran', 'Jordan Fisher']"
26,1.0,True,"[{'week': 1, 'eliminated': 'Kareem Abdul-Jabbar', 'method': 'percentage'}, {'week': 2, 'eliminated': 'Jennie Finch Daigle', 'method': 'percentage'}, {'week': 3, 'eliminated': 'Chris Mazdzer', 'method': 'percentage'}]","[{'week': 1, 'eliminated': 'Jamie Anderson', 'method': 'rank'}, {'week': 2, 'eliminated': 'Kareem Abdul-Jabbar', 'method': 'rank'}, {'week': 3, 'eliminated': 'Chris Mazdzer', 'method': 'rank'}]","['Johnny Damon', 'Arike Ogunbowale', 'Josh Norman', 'Mirai Nagasu', 'Tonya Harding', 'Adam Rippon', 'Jamie Anderson']","['Jennie Finch Daigle', 'Johnny Damon', 'Arike Ogunbowale', 'Josh Norman', 'Mirai Nagasu', 'Tonya Harding', 'Adam Rippon']"
27,3.0,True,"[{'week': 1, 'eliminated': 'Nikki Glaser', 'method': 'percentage'}, {'week': 2, 'eliminated': 'Danelle Umstead', 'method': 'percentage'}, {'week': 3, 'eliminated': 'Nancy McKeon', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Tinashe', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Mary Lou Retton', 'method': 'percentage'}, {'week': 7, 'eliminated': 'John Schneider', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Joe Amabile', 'method': 'percentage'}]","[{'week': 1, 'eliminated': 'Nikki Glaser', 'method': 'rank'}, {'week': 2, 'eliminated': 'Danelle Umstead', 'method': 'rank'}, {'week': 3, 'eliminated': 'Mary Lou Retton', 'method': 'rank'}, {'week': 4, 'eliminated': 'Joe Amabile', 'method': 'rank'}, {'week': 6, 'eliminated': 'John Schneider', 'method': 'rank'}, {'week': 7, 'eliminated': 'DeMarcus Ware', 'method': 'rank'}, {'week': 8, 'eliminated': 'Bobby Bones', 'method': 'rank'}]","['DeMarcus Ware', 'Juan Pablo Di Pace', 'Bobby Bones', 'Alexis Ren', 'Milo Manheim', 'Evanna Lynch']","['Juan Pablo Di Pace', 'Alexis Ren', 'Tinashe', 'Milo Manheim', 'Evanna Lynch', 'Nancy McKeon']"
28,9.0,True,"[{'week': 2, 'eliminated': 'Mary Wilson', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Lamar Odom', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Sean Spicer', 'method': 'percentage'}, {'week': 7, 'eliminated': 'Karamo Brown', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Kate Flannery', 'method': 'percentage'}, {'week': 9, 'eliminated': 'Ally Brooke', 'method': 'percentage'}, {'week': 10, 'eliminated': 'Hannah Brown', 'method': 'percentage'}]","[{'week': 2, 'eliminated': 'Mary Wilson', 'method': 'rank'}, {'week': 4, 'eliminated': 'Lamar Odom', 'method': 'rank'}, {'week': 6, 'eliminated': 'Sean Spicer', 'method': 'rank'}, {'week': 7, 'eliminated': 'Karamo Brown', 'method': 'rank'}, {'week': 8, 'eliminated': 'Kate Flannery', 'method': 'rank'}, {'week': 9, 'eliminated': 'Hannah Brown', 'method': 'rank'}, {'week': 10, 'eliminated': 'James Van Der Beek', 'method': 'rank'}]","['Sailor Brinkley-Cook', 'Kel Mitchell', 'Ray Lewis', 'James Van Der Beek', 'Lauren Alaina']","['Ally Brooke', 'Sailor Brinkley-Cook', 'Kel Mitchell', 'Ray Lewis', 'Lauren Alaina']"
29,7.0,True,"[{'week': 2, 'eliminated': 'Charles Oakley', 'method': 'percentage'}, {'week': 3, 'eliminated': 'Carole Baskin', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Anne Heche', 'method': 'percentage'}, {'week': 5, 'eliminated': 'Jesse Metcalfe', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Veron Davis', 'method': 'percentage'}, {'week': 7, 'eliminated': 'AJ McLean', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Kaitlyn Bristowe', 'method': 'percentage'}, {'week': 9, 'eliminated': 'Nev Schulman', 'method': 'percentage'}, {'week': 10, 'eliminated': 'Skai Jackson', 'method': 'percentage'}]","[{'week': 2, 'eliminated': 'Charles Oakley', 'method': 'rank'}, {'week': 3, 'eliminated': 'Carole Baskin', 'method': 'rank'}, {'week': 4, 'eliminated': 'Anne Heche', 'method': 'rank'}, {'week': 5, 'eliminated': 'Jesse Metcalfe', 'method': 'rank'}, {'week': 6, 'eliminated': 'Veron Davis', 'method': 'rank'}, {'week': 7, 'eliminated': 'Kaitlyn Bristowe', 'method': 'rank'}, {'week': 8, 'eliminated': 'Nelly', 'method': 'rank'}, {'week': 9, 'eliminated': 'AJ McLean', 'method': 'rank'}, {'week': 10, 'eliminated': 'Skai Jackson', 'method': 'rank'}]","['Monica Aldama', 'Nelly', 'Chrishell Stause', 'Jeannie Mai', 'Justina Machado', 'Johnny Weir']","['Monica Aldama', 'Chrishell Stause', 'Jeannie Mai', 'Justina Machado', 'Nev Schulman', 'Johnny Weir']"
30,6.0,True,"[{'week': 2, 'eliminated': 'Martin Kove', 'method': 'percentage'}, {'week': 3, 'eliminated': 'Cody Rigsby', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Brian Austin Green', 'method': 'percentage'}, {'week': 5, 'eliminated': 'Iman Shumpert', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Jimmie Allen', 'method': 'percentage'}, {'week': 7, 'eliminated': 'Mike ""The Miz"" Mizanin', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Olivia Jade', 'method': 'percentage'}, {'week': 9, 'eliminated': 'Melora Hardin', 'method': 'percentage'}]","[{'week': 2, 'eliminated': 'Martin Kove', 'method': 'rank'}, {'week': 3, 'eliminated': 'Cody Rigsby', 'method': 'rank'}, {'week': 4, 'eliminated': 'Brian Austin Green', 'method': 'rank'}, {'week': 5, 'eliminated': 'Iman Shumpert', 'method': 'rank'}, {'week': 6, 'eliminated': 'Kenya Moore', 'method': 'rank'}, {'week': 7, 'eliminated': 'Mike ""The Miz"" Mizanin', 'method': 'rank'}, {'week': 8, 'eliminated': 'Olivia Jade', 'method': 'rank'}, {'week': 9, 'eliminated': 'Melora Hardin', 'method': 'rank'}]","['Amanda Kloots', 'JoJo Siwa', 'Suni Lee', 'Matt James', 'Christine Chiu', 'Melanie C', 'Kenya Moore']","['Amanda Kloots', 'JoJo Siwa', 'Suni Lee', 'Matt James', 'Jimmie Allen', 'Christine Chiu', 'Melanie C']"
31,8.0,True,"[{'week': 1, 'eliminated': 'Vinny Guadagnino', 'method': 'percentage'}, {'week': 2, 'eliminated': 'Teresa Giudice', 'method': 'percentage'}, {'week': 3, 'eliminated': 'Cheryl Ladd', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Sam Champion', 'method': 'percentage'}, {'week': 5, 'eliminated': 'Joseph Baena', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Jessie James Decker', 'method': 'percentage'}, {'week': 7, 'eliminated': 'Jordin Sparks', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Shangela', 'method': 'percentage'}, {'week': 9, 'eliminated': 'Daniel Durant', 'method': 'percentage'}]","[{'week': 1, 'eliminated': 'Vinny Guadagnino', 'method': 'rank'}, {'week': 2, 'eliminated': 'Teresa Giudice', 'method': 'rank'}, {'week': 3, 'eliminated': 'Cheryl Ladd', 'method': 'rank'}, {'week': 4, 'eliminated': 'Sam Champion', 'method': 'rank'}, {'week': 5, 'eliminated': 'Joseph Baena', 'method': 'rank'}, {'week': 6, 'eliminated': 'Jessie James Decker', 'method': 'rank'}, {'week': 7, 'eliminated': 'Jordin Sparks', 'method': 'rank'}, {'week': 8, 'eliminated': 'Daniel Durant', 'method': 'rank'}, {'week': 9, 'eliminated': 'Trevor Donovan', 'method': 'rank'}]","['Jason Lewis', ""Charli D'Amelio"", ""Heidi D'Amelio"", 'Wayne Brady', 'Selma Blair', 'Trevor Donovan', 'Gabby Windey']","['Jason Lewis', ""Charli D'Amelio"", 'Shangela', ""Heidi D'Amelio"", 'Wayne Brady', 'Selma Blair', 'Gabby Windey']"
32,6.0,True,"[{'week': 1, 'eliminated': 'Harry Jowsey', 'method': 'percentage'}, {'week': 2, 'eliminated': 'Jamie Lynn Spears', 'method': 'percentage'}, {'week': 3, 'eliminated': 'Tyson Beckford', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Adrian Peterson', 'method': 'percentage'}, {'week': 5, 'eliminated': 'Lele Pons', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Jason Mraz', 'method': 'percentage'}, {'week': 7, 'eliminated': 'Ariana Madix', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Charity Lawson', 'method': 'percentage'}, {'week': 9, 'eliminated': 'Xochitl Gomez', 'method': 'percentage'}]","[{'week': 1, 'eliminated': 'Harry Jowsey', 'method': 'rank'}, {'week': 2, 'eliminated': 'Jamie Lynn Spears', 'method': 'rank'}, {'week': 3, 'eliminated': 'Tyson Beckford', 'method': 'rank'}, {'week': 4, 'eliminated': 'Adrian Peterson', 'method': 'rank'}, {'week': 5, 'eliminated': 'Lele Pons', 'method': 'rank'}, {'week': 6, 'eliminated': 'Charity Lawson', 'method': 'rank'}, {'week': 7, 'eliminated': 'Barry Williams', 'method': 'rank'}, {'week': 8, 'eliminated': 'Jason Mraz', 'method': 'rank'}, {'week': 9, 'eliminated': 'Alyson Hannigan', 'method': 'rank'}]","['Alyson Hannigan', 'Matt Walsh', 'Mauricio Umansky', 'Barry Williams', 'Mira Sorvino']","['Xochitl Gomez', 'Matt Walsh', 'Mauricio Umansky', 'Ariana Madix', 'Mira Sorvino']"
33,2.0,True,"[{'week': 2, 'eliminated': 'Anna Delvey', 'method': 'percentage'}, {'week': 3, 'eliminated': 'Eric Roberts', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Ilona Maher', 'method': 'percentage'}, {'week': 5, 'eliminated': 'Phaedra Parks', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Danny Amendola', 'method': 'percentage'}, {'week': 7, 'eliminated': 'Dwight Howard\xa0', 'method': 'percentage'}]","[{'week': 2, 'eliminated': 'Tori Spelling', 'method': 'rank'}, {'week': 3, 'eliminated': 'Eric Roberts', 'method': 'rank'}, {'week': 4, 'eliminated': 'Dwight Howard\xa0', 'method': 'rank'}, {'week': 5, 'eliminated': 'Phaedra Parks', 'method': 'rank'}, {'week': 6, 'eliminated': 'Danny Amendola', 'method': 'rank'}, {'week': 7, 'eliminated': 'Joey Graziadei', 'method': 'rank'}]","['Jenn Tran', 'Tori Spelling', 'Brooks Nader', 'Chandler Kinney', 'Joey Graziadei', 'Reginald VelJohnson', 'Stephen Nedoroscik']","['Jenn Tran', 'Ilona Maher', 'Brooks Nader', 'Chandler Kinney', 'Reginald VelJohnson', 'Stephen Nedoroscik', 'Anna Delvey']"
34,8.0,True,"[{'week': 2, 'eliminated': 'Corey Feldman', 'method': 'percentage'}, {'week': 3, 'eliminated': 'Lauren Jauregui', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Andy Richter', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Scott Hoying', 'method': 'percentage'}, {'week': 7, 'eliminated': 'Jen Affleck', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Alix Earle', 'method': 'percentage'}, {'week': 9, 'eliminated': 'Robert Irwin', 'method': 'percentage'}, {'week': 10, 'eliminated': 'Whitney Leavitt', 'method': 'percentage'}]","[{'week': 2, 'eliminated': 'Corey Feldman', 'method': 'rank'}, {'week': 3, 'eliminated': 'Lauren Jauregui', 'method': 'rank'}, {'week': 4, 'eliminated': 'Andy Richter', 'method': 'rank'}, {'week': 6, 'eliminated': 'Scott Hoying', 'method': 'rank'}, {'week': 7, 'eliminated': 'Jen Affleck', 'method': 'rank'}, {'week': 8, 'eliminated': 'Danielle Fishel', 'method': 'rank'}, {'week': 9, 'eliminated': 'Alix Earle', 'method': 'rank'}, {'week': 10, 'eliminated': 'Whitney Leavitt', 'method': 'rank'}]","['Baron Davis', 'Dylan Efron', 'Elaine Hendrix', 'Jordan Chiles', 'Hilaria Baldwin', 'Danielle Fishel']","['Baron Davis', 'Dylan Efron', 'Elaine Hendrix', 'Robert Irwin', 'Jordan Chiles', 'Hilaria Baldwin']"
