celebrity_name,ballroom_partner,industry,home_state,home_country,age,season,results,final_placement,industry_clean,home_clean,placement_numeric
Tommy Chong,Peta Murgatroyd,Comedian,,Canada,76,19,Eliminated Week 10,5,Comedian,Canada,5
Betsey Johnson,Tony Dovolani,Fashion Designer,Connecticut,United States,72,19,Eliminated Week 4,10,Fashion Designer,"Connecticut, United States",10
Michael Waltrip,Emma Slater,Racing Driver,Kentucky,United States,51,19,Eliminated Week 8,7,Racing Driver,"Kentucky, United States",7
Tavis Smiley,Sharna Burgess,Radio Personality,Mississippi,United States,50,19,Eliminated Week 2,12,Radio Personality,"Mississippi, United States",12
Bethany Mota,Derek Hough,Social Media Personality,California,United States,18,19,Eliminated Week 11,4,Social Media Personality,"California, United States",4
Sadie Robertson,Mark Ballas,TV Personality,Louisiana,United States,17,19,2nd Place,2,TV Personality,"Louisiana, United States",2
Suzanne Somers,Tony Dovolani,Actor/Actress,California,United States,68,20,Eliminated Week 5,9,Actor/Actress,"California, United States",9
Willow Shields,Mark Ballas,Actor/Actress,New Mexico,United States,14,20,Eliminated Week 7,7,Actor/Actress,"New Mexico, United States",7
Riker Lynch,Allison Holker,Actor/Actress,Colorado,United States,23,20,2nd Place,2,Actor/Actress,"Colorado, United States",2
Rumer Willis,Valentin Chmerkovskiy,Actor/Actress,Kentucky,United States,26,20,1st Place,1,Actor/Actress,"Kentucky, United States",1
Nastia Liukin,Derek Hough,Athlete,,Russia,25,20,Eliminated Week 9,4,Athlete,Russia,4
Michael Sam,Peta Murgatroyd,Athlete,Texas,United States,25,20,Eliminated Week 4,10,Athlete,"Texas, United States",10
Robert Herjavec,Kym Johnson,Entrepreneur,,Croatia,52,20,Eliminated Week 8,6,Entrepreneur,Croatia,6
Charlotte McKinney,Keo Motsepe,Model,Florida,United States,21,20,Eliminated Week 3,11,Model,"Florida, United States",11
Noah Galloway,Sharna Burgess,Motivational Speaker,Alabama,United States,33,20,3rd Place,3,Motivational Speaker,"Alabama, United States",3
Redfoo,Emma Slater,Singer/Rapper,California,United States,39,20,Eliminated Week 2,12,Singer/Rapper,"California, United States",12
Patti LaBelle,Artem Chigvintsev,Singer/Rapper,Pennsylvania,United States,70,20,Eliminated Week 6,8,Singer/Rapper,"Pennsylvania, United States",8
Chris Soules,Witney Carson,TV Personality,Iowa,United States,33,20,Eliminated Week 8,5,TV Personality,"Iowa, United States",5
Gary Busey,Anna Trebunskaya,Actor/Actress,Texas,United States,71,21,Eliminated Week 4,10,Actor/Actress,"Texas, United States",10
Alexa PenaVega,Mark Ballas,Actor/Actress,Florida,United States,27,21,Eliminated Week 9,6,Actor/Actress,"Florida, United States",6
Carlos PenaVega,Witney Carson,Actor/Actress,Missouri,United States,26,21,Eliminated Week 11,4,Actor/Actress,"Missouri, United States",4
Victor Espinoza,Karina Smirnoff,Athlete,,Mexico,43,21,Eliminated Week 2,12,Athlete,Mexico,12
Alek Skarlatos,Lindsay Arnold,Military,California,United States,22,21,3rd Place,3,Military,"California, United States",3
Chaka Khan,Keo Motsepe,Singer/Rapper,Illinois,United States,62,21,Eliminated Week 2,13,Singer/Rapper,"Illinois, United States",13
Andy Grammer,Allison Holker,Singer/Rapper,California,United States,31,21,Eliminated Week 8,7,Singer/Rapper,"California, United States",7
Tamar Braxton,Valentin Chmerkovskiy,Singer/Rapper,Maryland,United States,38,21,Withdrew,5,Singer/Rapper,"Maryland, United States",5
Nick Carter,Sharna Burgess,Singer/Rapper,New York,United States,35,21,2nd Place,2,Singer/Rapper,"New York, United States",2
Hayes Grier,Emma Slater,Social Media Personality,North Carolina,United States,15,21,Eliminated Week 7,8,Social Media Personality,"North Carolina, United States",8
Bindi Irwin,Derek Hough,TV Personality,,Australia,17,21,1st Place,1,TV Personality,Australia,1
Kim Zolciak-Biermann,Tony Dovolani,TV Personality,Florida,United States,37,21,Withdrew,11,TV Personality,"Florida, United States",11
Paula Deen,Louis van Amstel,TV Personality,Georgia,United States,68,21,Eliminated Week 6,9,TV Personality,"Georgia, United States",9
Mischa Barton,Artem Chigvintsev,Actor/Actress,,England,30,22,Eliminated Week 3,11,Actor/Actress,England,11
Kim Fields,Sasha Farber,Actor/Actress,New York,United States,46,22,Eliminated Week 7,8,Actor/Actress,"New York, United States",8
Jodie Sweetin,Keo Motsepe,Actor/Actress,California,United States,34,22,Eliminated Week 8,6,Actor/Actress,"California, United States",6
Doug Flutie,Karina Smirnoff,Athlete,Maryland,United States,53,22,Eliminated Week 6,9,Athlete,"Maryland, United States",9
Von Miller,Witney Carson,Athlete,Texas,United States,27,22,Eliminated Week 7,7,Athlete,"Texas, United States",7
Antonio Brown,Sharna Burgess,Athlete,Florida,United States,27,22,Eliminated Week 9,5,Athlete,"Florida, United States",5
Paige VanZant,Mark Ballas,Athlete,Oregon,United States,22,22,2nd Place,2,Athlete,"Oregon, United States",2
Geraldo Rivera,Edyta Sliwinska,Journalist,New York,United States,72,22,Eliminated Week 2,12,Journalist,"New York, United States",12
Nyle DiMarco,Peta Murgatroyd,Model,New York,United States,26,22,1st Place,1,Model,"New York, United States",1
Ginger Zee,Valentin Chmerkovskiy,News Anchor,California,United States,35,22,3rd Place,3,News Anchor,"California, United States",3
Wanya Morris,Lindsay Arnold,Singer/Rapper,Pennsylvania,United States,42,22,Eliminated Week 9,4,Singer/Rapper,"Pennsylvania, United States",4
Marla Maples,Tony Dovolani,TV Personality,Georgia,United States,52,22,Eliminated Week 4,10,TV Personality,"Georgia, United States",10
Jake T. Austin,Jenna Johnson,Actor/Actress,New York,United States,21,23,Eliminated Week 2,13,Actor/Actress,"New York, United States",13
Maureen McCormick,Artem Chigvintsev,Actor/Actress,California,United States,60,23,Eliminated Week 7,8,Actor/Actress,"California, United States",8
Marilu Henner,Derek Hough,Actor/Actress,Illinois,United States,64,23,Eliminated Week 9,6,Actor/Actress,"Illinois, United States",6
Ryan Lochte,Cheryl Burke,Athlete,New York,United States,32,23,Eliminated Week 8,7,Athlete,"New York, United States",7
Calvin Johnson Jr.,Lindsay Arnold,Athlete,Georgia,United States,30,23,3rd Place,3,Athlete,"Georgia, United States",3
Laurie Hernandez,Valentin Chmerkovskiy,Athlete,New Jersey,United States,16,23,1st Place,1,Athlete,"New Jersey, United States",1
Amber Rose,Maksim Chmerkoskiy,Model,Pennsylvania,United States,32,23,Eliminated Week 6,9,Model,"Pennsylvania, United States",9
Rick Perry,Emma Slater,Politician,Texas,United States,66,23,Eliminated Week 3,12,Politician,"Texas, United States",12
James Hinchcliffe,Sharna Burgess,Racing Driver,,Canada,29,23,2nd Place,2,Racing Driver,Canada,2
Babyface,Allison Holker,Singer/Rapper,Indiana,United States,57,23,Eliminated Week 4,11,Singer/Rapper,"Indiana, United States",11
Vanilla Ice,Witney Carson,Singer/Rapper,Texas,United States,48,23,Eliminated Week 4,10,Singer/Rapper,"Texas, United States",10
Jana Kramer,Gleb Savchenko,Singer/Rapper,Michigan,United States,32,23,Eliminated Week 11,4,Singer/Rapper,"Michigan, United States",4
Terra Jole,Sasha Farber,TV Personality,Texas,United States,36,23,Eliminated Week 10,5,TV Personality,"Texas, United States",5
Charo,Keo Motsepe,Actor/Actress,,Spain,66,24,Eliminated Week 3,11,Actor/Actress,Spain,11
Mr. T,Kym Herjavec,Actor/Actress,Illinois,United States,64,24,Eliminated Week 4,10,Actor/Actress,"Illinois, United States",10
Heather Morris,Maksim Chmerkoskiy,Actor/Actress,California,United States,30,24,Eliminated Week 6,8,Actor/Actress,"California, United States",8
Nancy Kerrigan,Artem Chigvintsev,Athlete,Massachusetts,United States,47,24,Eliminated Week 7,7,Athlete,"Massachusetts, United States",7
Bonner Bolton,Sharna Burgess,Athlete,Texas,United States,29,24,Eliminated Week 8,5,Athlete,"Texas, United States",5
Simone Biles,Sasha Farber,Athlete,Ohio,United States,20,24,Eliminated Week 9,4,Athlete,"Ohio, United States",4
David Ross,Lindsay Arnold,Athlete,Georgia,United States,40,24,2nd Place,2,Athlete,"Georgia, United States",2
Rashad Jennings,Emma Slater,Athlete,Virginia,United States,32,24,1st Place,1,Athlete,"Virginia, United States",1
Chris Kattan,Witney Carson,Comedian,California,United States,46,24,Eliminated Week 2,12,Comedian,"California, United States",12
Erika Jayne,Gleb Savchenko,Singer/Rapper,Georgia,United States,45,24,Eliminated Week 5,9,Singer/Rapper,"Georgia, United States",9
Normani,Valentin Chmerkovskiy,Singer/Rapper,Georgia,United States,20,24,3rd Place,3,Singer/Rapper,"Georgia, United States",3
Nick Viall,Peta Murgatroyd,TV Personality,Wisconsin,United States,36,24,Eliminated Week 7,6,TV Personality,"Wisconsin, United States",6
Sasha Pieterse,Gleb Savchenko,Actor/Actress,,South Africa,21,25,Eliminated Week 5,10,Actor/Actress,South Africa,10
Frankie Muniz,Witney Carson,Actor/Actress,New Jersey,United States,31,25,3rd Place,3,Actor/Actress,"New Jersey, United States",3
Jordan Fisher,Lindsay Arnold,Actor/Actress,Alabama,United States,23,25,1st Place,1,Actor/Actress,"Alabama, United States",1
Derek Fisher,Sharna Burgess,Athlete,Arkansas,United States,43,25,Eliminated Week 4,11,Athlete,"Arkansas, United States",11
Nikki Bella,Artem Chigvintsev,Athlete,California,United States,33,25,Eliminated Week 7,8,Athlete,"California, United States",8
Terrell Owens,Cheryl Burke,Athlete,Alabama,United States,43,25,Eliminated Week 8,6,Athlete,"Alabama, United States",6
Victoria Arlen,Valentin Chmerkovskiy,Athlete,New Hamshire,United States,22,25,Eliminated Week 9,5,Athlete,"New Hamshire, United States",5
Barbara Corcoran,Keo Motsepe,Entrepreneur,New Jersey,United States,68,25,Eliminated Week 2,13,Entrepreneur,"New Jersey, United States",13
Lindsey Stirling,Mark Ballas,Musician,California,United States,31,25,2nd Place,2,Musician,"California, United States",2
Debbie Gibson,Alan Bersten,Singer/Rapper,New York,United States,47,25,Eliminated Week 2,12,Singer/Rapper,"New York, United States",12
Nick Lachey,Peta Murgatroyd,Singer/Rapper,Kentucky,United States,43,25,Eliminated Week 6,9,Singer/Rapper,"Kentucky, United States",9
Drew Scott,Emma Slater,TV Personality,,Canada,39,25,Eliminated Week 10,4,TV Personality,Canada,4
Vanessa Lachey,Maksim Chmerkoskiy,TV Personality,,Philippines,36,25,Eliminated Week 7,7,TV Personality,Philippines,7
Jamie Anderson,Artem Chigvintsev,Athlete,California,United States,27,26,Eliminated Week 1,10,Athlete,"California, United States",10
Johnny Damon,Emma Slater,Athlete,Kansas,United States,44,26,Eliminated Week 1,9,Athlete,"Kansas, United States",9
Kareem Abdul-Jabbar,Lindsay Arnold,Athlete,New York,United States,71,26,Eliminated Week 2,8,Athlete,"New York, United States",8
Arike Ogunbowale,Gleb Savchenko,Athlete,Wisconsin,United States,21,26,Eliminated Week 2,7,Athlete,"Wisconsin, United States",7
Jennie Finch Daigle,Keo Motsepe,Athlete,California,United States,37,26,Eliminated Week 3,6,Athlete,"California, United States",6
Chris Mazdzer,Witney Carson,Athlete,Massachusetts,United States,29,26,Eliminated Week 3,5,Athlete,"Massachusetts, United States",5
Mirai Nagasu,Alan Bersten,Athlete,California,United States,25,26,Eliminated Week 3,4,Athlete,"California, United States",4
Tonya Harding,Sasha Farber,Athlete,Oregon,United States,47,26,3rd Place,3,Athlete,"Oregon, United States",3
Josh Norman,Sharna Burgess,Athlete,South Carolina,United States,30,26,2nd Place,2,Athlete,"South Carolina, United States",2
Adam Rippon,Jenna Johnson,Athlete,Pennsylvania,United States,28,26,1st Place,1,Athlete,"Pennsylvania, United States",1
Juan Pablo Di Pace,Cheryl Burke,Actor/Actress,,Argentina,39,27,Eliminated Week 8,5,Actor/Actress,Argentina,5
Evanna Lynch,Keo Motsepe,Actor/Actress,,Ireland,27,27,3rd Place,3,Actor/Actress,Ireland,3
Nancy McKeon,Valentin Chmerkovskiy,Actor/Actress,New York,United States,52,27,Eliminated Week 3,11,Actor/Actress,"New York, United States",11
John Schneider,Emma Slater,Actor/Actress,New York,United States,58,27,Eliminated Week 7,8,Actor/Actress,"New York, United States",8
Milo Manheim,Witney Carson,Actor/Actress,California,United States,17,27,2nd Place,2,Actor/Actress,"California, United States",2
Danelle Umstead,Artem Chigvintsev,Athlete,New Mexico,United States,46,27,Eliminated Week 2,12,Athlete,"New Mexico, United States",12
Mary Lou Retton,Sasha Farber,Athlete,West Virginia,United States,50,27,Eliminated Week 6,9,Athlete,"West Virginia, United States",9
DeMarcus Ware,Lindsay Arnold,Athlete,Alabama,United States,36,27,Eliminated Week 7,7,Athlete,"Alabama, United States",7
Nikki Glaser,Gleb Savchenko,Comedian,Ohio,United States,34,27,Eliminated Week 1,13,Comedian,"Ohio, United States",13
Bobby Bones,Sharna Burgess,Radio Personality,Arkansas,United States,38,27,1st Place,1,Radio Personality,"Arkansas, United States",1
Tinashe,Brandon Armstrong,Singer/Rapper,Kentucky,United States,25,27,Eliminated Week 4,10,Singer/Rapper,"Kentucky, United States",10
Alexis Ren,Alan Bersten,Social Media Personality,California,United States,21,27,4th Place,4,Social Media Personality,"California, United States",4
Joe Amabile,Jenna Johnson,TV Personality,Illinois,United States,32,27,Eliminated Week 8,6,TV Personality,"Illinois, United States",6
Kate Flannery,Pasha Pashkov,Actor/Actress,Pennsylvania,United States,55,28,Eliminated Week 8,7,Actor/Actress,"Pennsylvania, United States",7
James Van Der Beek,Emma Slater,Actor/Actress,Connecticut,United States,42,28,Eliminated Week 10,5,Actor/Actress,"Connecticut, United States",5
Kel Mitchell,Witney Carson,Actor/Actress,Illinois,United States,41,28,2nd Place,2,Actor/Actress,"Illinois, United States",2
Ray Lewis,Cheryl Burke,Athlete,Florida,United States,44,28,Withdrew,11,Athlete,"Florida, United States",11
Lamar Odom,Peta Murgatroyd,Athlete,New York,United States,39,28,Eliminated Week 4,10,Athlete,"New York, United States",10
Sailor Brinkley-Cook,Valentin Chmerkovskiy,Model,New York,United States,21,28,Eliminated Week 6,9,Model,"New York, United States",9
Sean Spicer,Lindsay Arnold,Politician,New York,United States,48,28,Eliminated Week 9,6,Politician,"New York, United States",6
Mary Wilson,Brandon Armstrong,Singer/Rapper,Nevada,United States,75,28,Eliminated Week 2,12,Singer/Rapper,"Nevada, United States",12
Lauren Alaina,Gleb Savchenko,Singer/Rapper,Georgia,United States,24,28,4th Place,4,Singer/Rapper,"Georgia, United States",4
Ally Brooke,Sasha Farber,Singer/Rapper,Texas,United States,26,28,3rd Place,3,Singer/Rapper,"Texas, United States",3
Karamo Brown,Jenna Johnson,TV Personality,Texas,United States,38,28,Eliminated Week 7,8,TV Personality,"Texas, United States",8
Hannah Brown,Alan Bersten,TV Personality,Alabama,United States,24,28,1st Place,1,TV Personality,"Alabama, United States",1
Anne Heche,Keo Motsepe,Actor/Actress,Ohio,United States,51,29,Eliminated Week 4,13,Actor/Actress,"Ohio, United States",13
Jesse Metcalfe,Sharna Burgess,Actor/Actress,California,United States,41,29,Eliminated Week 5,12,Actor/Actress,"California, United States",12
Chrishell Stause,Gleb Savchenko,Actor/Actress,Kentucky,United States,39,29,Eliminated Week 8,8,Actor/Actress,"Kentucky, United States",8
Skai Jackson,Alan Bersten,Actor/Actress,New York,United States,18,29,Eliminated Week 10,5,Actor/Actress,"New York, United States",5
Justina Machado,Sasha Farber,Actor/Actress,Illinois,United States,48,29,4th Place,4,Actor/Actress,"Illinois, United States",4
Charles Oakley,Emma Slater,Athlete,Ohio,United States,56,29,Eliminated Week 2,15,Athlete,"Ohio, United States",15
Veron Davis,Peta Murgatroyd,Athlete,Washington D.C.,United States,36,29,Eliminated Week 6,11,Athlete,"Washington D.C., United States",11
Johnny Weir,Britt Stewart,Athlete,Pennsylvania,United States,36,29,Eliminated Week 10,6,Athlete,"Pennsylvania, United States",6
Nev Schulman,Jenna Johnson,Producer,New York,United States,35,29,2nd Place,2,Producer,"New York, United States",2
AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42,29,Eliminated Week 9,7,Singer/Rapper,"Florida, United States",7
Nelly,Daniella Karagach,Singer/Rapper,Texas,United States,45,29,3rd Place,3,Singer/Rapper,"Texas, United States",3
Kaitlyn Bristowe,Artem Chigvintsev,TV Personality,,Canada,35,29,1st Place,1,TV Personality,Canada,1
Carole Baskin,Pasha Pashkov,TV Personality,Texas,United States,59,29,Eliminated Week 3,14,TV Personality,"Texas, United States",14
Monica Aldama,Valentin Chmerkovskiy,TV Personality,Alabama,United States,48,29,Eliminated Week 7,10,TV Personality,"Alabama, United States",10
Jeannie Mai,Brandon Armstrong,TV Personality,California,United States,41,29,Withdrew,9,TV Personality,"California, United States",9
Martin Kove,Britt Stewart,Actor/Actress,New York,United States,75,30,Eliminated Week 2,15,Actor/Actress,"New York, United States",15
Brian Austin Green,Sharna Burgess,Actor/Actress,California,United States,48,30,Eliminated Week 4,13,Actor/Actress,"California, United States",13
Melora Hardin,Artem Chigvintsev,Actor/Actress,Texas,United States,54,30,Eliminated Week 9,6,Actor/Actress,"Texas, United States",6
Matt James,Lindsay Arnold,Athlete,North Carolina,United States,29,30,Eliminated Week 4,12,Athlete,"North Carolina, United States",12
"Mike ""The Miz"" Mizanin",Witney Carson,Athlete,Ohio,United States,40,30,Eliminated Week 7,9,Athlete,"Ohio, United States",9
Suni Lee,Sasha Farber,Athlete,Minnesota,United States,18,30,Eliminated Week 9,5,Athlete,"Minnesota, United States",5
Iman Shumpert,Daniella Karagach,Athlete,Illinois,United States,31,30,1st Place,1,Athlete,"Illinois, United States",1
Cody Rigsby,Cheryl Burke,Fitness Instructor,California,United States,34,30,3rd Place,3,Fitness Instructor,"California, United States",3
Melanie C,Gleb Savchenko,Singer/Rapper,,England,47,30,Eliminated Week 5,11,Singer/Rapper,England,11
Jimmie Allen,Emma Slater,Singer/Rapper,Delaware,United States,36,30,Eliminated Week 8,7,Singer/Rapper,"Delaware, United States",7
Olivia Jade,Valentin Chmerkovskiy,Social Media Personality,California,United States,21,30,Eliminated Week 8,8,Social Media Personality,"California, United States",8
JoJo Siwa,Jenna Johnson,Social Media Personality,Nebraska,United States,18,30,2nd Place,2,Social Media Personality,"Nebraska, United States",2
Christine Chiu,Pasha Pashkov,TV Personality,,Taiwan China,38,30,Eliminated Week 3,14,TV Personality,Taiwan China,14
Kenya Moore,Brandon Armstrong,TV Personality,Michigan,United States,50,30,Eliminated Week 6,10,TV Personality,"Michigan, United States",10
Amanda Kloots,Alan Bersten,TV Personality,Ohio,United States,39,30,4th Place,4,TV Personality,"Ohio, United States",4
Jason Lewis,Peta Murgatroyd,Actor/Actress,California,United States,51,31,Eliminated Week 1,16,Actor/Actress,"California, United States",16
Cheryl Ladd,Louis van Amstel,Actor/Actress,South Dakota,United States,71,31,Eliminated Week 3,14,Actor/Actress,"South Dakota, United States",14
Selma Blair,Sasha Farber,Actor/Actress,Michigan,United States,50,31,Withdrew,12,Actor/Actress,"Michigan, United States",12
Joseph Baena,Daniella Karagach,Actor/Actress,California,United States,24,31,Eliminated Week 5,11,Actor/Actress,"California, United States",11
Trevor Donovan,Emma Slater,Actor/Actress,California,United States,39,31,Eliminated Week 9,6,Actor/Actress,"California, United States",6
Daniel Durant,Britt Stewart,Actor/Actress,Michigan,United States,32,31,Eliminated Week 9,5,Actor/Actress,"Michigan, United States",5
Wayne Brady,Witney Carson,Comedian,Georgia,United States,50,31,3rd Place,3,Comedian,"Georgia, United States",3
Sam Champion,Cheryl Burke,News Anchor,Kentucky,United States,61,31,Eliminated Week 4,13,News Anchor,"Kentucky, United States",13
Jessie James Decker,Alan Bersten,Singer/Rapper,,Italy,34,31,Eliminated Week 6,10,Singer/Rapper,Italy,10
Jordin Sparks,Brandon Armstrong,Singer/Rapper,Arizona,United States,32,31,Eliminated Week 7,9,Singer/Rapper,"Arizona, United States",9
Heidi D'Amelio,Artem Chigvintsev,Social Media Personality,Louisiana,United States,50,31,Eliminated Week 8,8,Social Media Personality,"Louisiana, United States",8
Charli D'Amelio,Mark Ballas,Social Media Personality,Connecticut,United States,18,31,1st Place,1,Social Media Personality,"Connecticut, United States",1
Teresa Giudice,Pasha Pashkov,TV Personality,New Jersey,United States,50,31,Eliminated Week 2,15,TV Personality,"New Jersey, United States",15
Vinny Guadagnino,Koko Iwasaki,TV Personality,New York,United States,34,31,Eliminated Week 8,7,TV Personality,"New York, United States",7
Shangela,Gleb Savchenko,TV Personality,Texas,United States,40,31,4th Place,4,TV Personality,"Texas, United States",4
Gabby Windey,Valentin Chmerkovskiy,TV Personality,Illinois,United States,31,31,2nd Place,2,TV Personality,"Illinois, United States",2
Jamie Lynn Spears,Alan Bersten,Actor/Actress,Mississippi,United States,32,32,Eliminated Week 2,13,Actor/Actress,"Mississippi, United States",13
Mira Sorvino,Gleb Savchenko,Actor/Actress,New York,United States,55,32,Eliminated Week 5,10,Actor/Actress,"New York, United States",10
Barry Williams,Peta Murgatroyd,Actor/Actress,California,United States,68,32,Eliminated Week 8,7,Actor/Actress,"California, United States",7
Alyson Hannigan,Sasha Farber,Actor/Actress,Washington D.C.,United States,49,32,5th Place,5,Actor/Actress,"Washington D.C., United States",5
Xochitl Gomez,Valentin Chmerkovskiy,Actor/Actress,California,United States,17,32,1st Place,1,Actor/Actress,"California, United States",1
Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38,32,Eliminated Week 4,11,Athlete,"Texas, United States",11
Matt Walsh,Koko Iwasaki,Comedian,Illinois,United States,58,32,Eliminated Week 1,14,Comedian,"Illinois, United States",14
Tyson Beckford,Jenna Johnson,Model,New York,United States,52,32,Eliminated Week 3,12,Model,"New York, United States",12
Jason Mraz,Daniella Karagach,Singer/Rapper,Virginia,United States,46,32,2nd Place,2,Singer/Rapper,"Virginia, United States",2
Lele Pons,Brandon Armstrong,Social Media Personality,,Venezuela,27,32,Eliminated Week 7,8,Social Media Personality,Venezuela,8
Harry Jowsey,Rylee Arnold,TV Personality,,Australia,26,32,Eliminated Week 9,6,TV Personality,Australia,6
Mauricio Umansky,Emma Slater,TV Personality,,Mexico,53,32,Eliminated Week 6,9,TV Personality,Mexico,9
Charity Lawson,Artem Chigvintsev,TV Personality,Georgia,United States,27,32,4th Place,4,TV Personality,"Georgia, United States",4
Ariana Madix,Pasha Pashkov,TV Personality,Florida,United States,38,32,3rd Place,3,TV Personality,"Florida, United States",3
Tori Spelling,Pasha Pashkov,Actor/Actress,California,United States,51,33,Eliminated Week 2,12,Actor/Actress,"California, United States",12
Eric Roberts,Britt Stewart,Actor/Actress,California,United States,68,33,Eliminated Week 3,10,Actor/Actress,"California, United States",10
Reginald VelJohnson,Emma Slater,Actor/Actress,New York,United States,74,33,Eliminated Week 3,10,Actor/Actress,"New York, United States",10
Chandler Kinney,Brandon Armstrong,Actor/Actress,California,United States,24,33,3rd Place,3,Actor/Actress,"California, United States",3
Dwight Howard ,Daniella Karagach,Athlete,Georgia,United States,38,33,Eliminated Week 7,6,Athlete,"Georgia, United States",6
Danny Amendola,Witney Carson,Athlete,Texas,United States,39,33,5th Place,5,Athlete,"Texas, United States",5
Stephen Nedoroscik,Rylee Arnold,Athlete,Florida,United States,26,33,4th Place,4,Athlete,"Florida, United States",4
Ilona Maher,Alan Bersten,Athlete,California,United States,28,33,2nd Place,2,Athlete,"California, United States",2
Anna Delvey,Ezra Sosa,Con artist,,Russia,33,33,Eliminated Week 2,12,Con artist,Russia,12
Brooks Nader,Gleb Savchenko,Model,New York,United States,27,33,Eliminated Week 4,9,Model,"New York, United States",9
Phaedra Parks,Val Chmerkovskiy,TV Personality,Georgia,United States,51,33,Eliminated Week 5,8,TV Personality,"Georgia, United States",8
Jenn Tran,Sasha Farber,TV Personality,Florida,United States,26,33,Eliminated Week 6,7,TV Personality,"Florida, United States",7
Joey Graziadei,Jenna Johnson,TV Personality,Louisiana,United States,29,33,1st Place,1,TV Personality,"Louisiana, United States",1
Corey Feldman,Jenna Johnson,Actor/Actress,California,United States,54,34,Eliminated Week 2,13,Actor/Actress,"California, United States",13
Danielle Fishel,Pasha Pashkov,Actor/Actress,California,United States,44,34,Eliminated Week 8,8,Actor/Actress,"California, United States",8
Elaine Hendrix,Alan Bersten (Rashad Jennings week 9),Actor/Actress,Georgia,United States,55,34,5th Place,5,Actor/Actress,"Georgia, United States",5
Baron Davis,Britt Stewart,Athlete,California,United States,46,34,Eliminated Week 2,13,Athlete,"California, United States",13
Jordan Chiles,Ezra Sosa (Apolo Anton Ohno week 9),Athlete,Texas,United States,24,34,3rd Place,3,Athlete,"Texas, United States",3
Andy Richter,Emma Slater/Kaitlyn Bristowe (week 9),Comedian,California,United States,59,34,Eliminated Week 9,7,Comedian,"California, United States",7
Robert Irwin,Witney Carson (Xoshitl Gomez week 9),Conservationist,,Australia,22,34,1st Place,1,Conservationist,Australia,1
Hilaria Baldwin,Gleb Savchenko,Entrepreneur,New York,United States,41,34,Eliminated Week 4,11,Entrepreneur,"New York, United States",11
Lauren Jauregui,Brandon Armstrong,Singer/Rapper,Florida,United States,29,34,Eliminated Week 3,12,Singer/Rapper,"Florida, United States",12
Scott Hoying,Rylee Arnold,Singer/Rapper,California,United States,34,34,Eliminated Week 6,10,Singer/Rapper,"California, United States",10
Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),Social media personality,Florida,United States,24,34,2nd Place,2,Social media personality,"Florida, United States",2
Jen Affleck,Jan Ravnik,TV Personality,Utah,United States,26,34,Eliminated Week 7,9,TV Personality,"Utah, United States",9
Whitney Leavitt,Mark Ballas,TV Personality,Utah,United States,32,34,Eliminated Week 10,6,TV Personality,"Utah, United States",6
Dylan Efron,Daniella Karagach (Rumer Willis week 9),TV Personality,California,United States,33,34,4th Place,4,TV Personality,"California, United States",4
